City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hithadhoo,MV,82.81,broken clouds,-0.6,73.0833,Scoop Guest House
2,Sinnamary,GF,80.2,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
4,Rikitea,PF,76.12,overcast clouds,-23.1203,-134.9692,People ThankYou
5,Ugoofaaru,MV,82.81,overcast clouds,5.6667,73.0,Ungoofaaru Inn
7,New Ulm,US,82.54,clear sky,44.3125,-94.4605,Best Western Plus New Ulm
8,San Patricio,US,91.49,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
10,Souillac,MU,75.58,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
12,Caravelas,BR,78.01,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
17,Victoria,HK,84.96,light rain,22.2855,114.1577,Mini Hotel Central
19,Cayhagan,PH,79.56,overcast clouds,9.6697,122.4256,Melrose Beach Resort
21,Hilo,US,70.79,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
22,Bubaque,GW,81.68,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
30,Sale,MA,75.63,clear sky,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
31,Margate,GB,76.17,clear sky,51.3813,1.3862,Premier Inn Margate hotel
32,Debre Zeyit,ET,74.53,overcast clouds,8.75,38.9833,Kuriftu Resort & Spa Debre Zeyit
36,Grand Gaube,MU,75.6,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
37,Callaway,US,90.91,broken clouds,30.153000000000002,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
43,Kapoeta,SS,86.47,overcast clouds,4.7717,33.5903,Eastgate Hotel
46,Sao Francisco,BR,87.84,overcast clouds,-15.9486,-44.8644,Hotel Supremo
50,Ribeira Grande,PT,72.0,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
53,Kentau,KZ,79.32,overcast clouds,43.5206,68.5094,Homestay Betty's B&B
54,Pacific Grove,US,75.81,clear sky,36.6177,-121.9166,Lovers Point Inn
55,Decatur,US,93.25,clear sky,39.8403,-88.9548,Haworth Cottage
60,Ponta Do Sol,PT,76.01,few clouds,32.6667,-17.1,Hotel do Campo
61,Bonthe,SL,83.8,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
63,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
64,Gillette,US,78.24,clear sky,44.2911,-105.5022,National 9 Inn - Gillette WY
66,Bengkulu,ID,76.26,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
