City_ID,City,Country,Lat,Lng,Max Temp,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,47.71,100,3.49,moderate rain
1,Hithadhoo,MV,-0.6,73.0833,82.81,55,9.86,broken clouds
2,Sinnamary,GF,5.3833,-52.95,80.2,66,5.88,broken clouds
3,Likhoy,RU,48.1266,40.2056,65.41,14,8.48,few clouds
4,Rikitea,PF,-23.1203,-134.9692,76.12,100,12.68,overcast clouds
5,Ugoofaaru,MV,5.6667,73.0,82.81,100,16.13,overcast clouds
6,Albany,US,42.6001,-73.9662,76.03,98,1.86,overcast clouds
7,New Ulm,US,44.3125,-94.4605,82.54,1,14.97,clear sky
8,San Patricio,US,28.017,-97.5169,91.49,8,9.48,clear sky
9,Mount Gambier,AU,-37.8333,140.7667,48.11,100,10.36,overcast clouds
10,Souillac,MU,-20.5167,57.5167,75.58,75,12.66,broken clouds
11,Punta Arenas,CL,-53.15,-70.9167,42.91,20,36.82,few clouds
12,Caravelas,BR,-17.7125,-39.2481,78.01,100,10.74,overcast clouds
13,Khatanga,RU,71.9667,102.5,38.17,100,10.47,overcast clouds
14,Cape Town,ZA,-33.9258,18.4232,61.11,46,1.99,scattered clouds
15,Kamaishi,JP,39.2667,141.8833,64.24,50,7.49,scattered clouds
16,Tasiilaq,GL,65.6145,-37.6368,41.16,100,4.74,overcast clouds
17,Victoria,HK,22.2855,114.1577,84.96,100,1.01,light rain
18,Norman Wells,CA,65.282,-126.8329,51.06,100,10.38,moderate rain
19,Cayhagan,PH,9.6697,122.4256,79.56,93,5.37,overcast clouds
20,Chuy,UY,-33.6971,-53.4616,63.45,35,9.51,scattered clouds
21,Hilo,US,19.7297,-155.09,70.79,90,5.75,light rain
22,Bubaque,GW,11.2833,-15.8333,81.68,31,12.12,scattered clouds
23,Ilo,PE,-17.6394,-71.3375,65.26,75,9.22,broken clouds
24,Yellowknife,CA,62.456,-114.3525,46.92,90,13.8,mist
25,Maine-Soroa,NE,13.2114,12.0241,100.81,88,6.33,overcast clouds
26,Dosso,NE,13.049,3.1937,102.04,38,4.76,scattered clouds
27,Poya,NC,-21.35,165.15,69.48,98,5.79,overcast clouds
28,Bluff,NZ,-46.6,168.3333,51.57,100,4.5,overcast clouds
29,Saskylakh,RU,71.9167,114.0833,48.87,99,6.02,overcast clouds
30,Sale,MA,34.0389,-6.8166,75.63,0,8.05,clear sky
31,Margate,GB,51.3813,1.3862,76.17,8,1.21,clear sky
32,Debre Zeyit,ET,8.75,38.9833,74.53,98,8.28,overcast clouds
33,Bethel,US,41.3712,-73.414,67.28,90,5.75,overcast clouds
34,Moindou,NC,-21.6924,165.677,66.15,100,5.21,overcast clouds
35,Jamsa,FI,61.8642,25.19,60.15,100,7.16,light rain
36,Grand Gaube,MU,-20.0064,57.6608,75.6,80,8.01,broken clouds
37,Callaway,US,30.153,-85.5699,90.91,75,12.66,broken clouds
38,Rio Grande,BR,-32.035,-52.0986,69.91,57,11.01,broken clouds
39,Iqaluit,CA,63.7506,-68.5145,40.69,6,10.0,clear sky
40,Lensk,RU,60.7253,114.9278,45.23,15,3.71,few clouds
41,Airai,TL,-8.9266,125.4092,57.52,80,2.91,broken clouds
42,Shakawe,BW,-18.3667,21.85,62.04,4,4.97,clear sky
43,Kapoeta,SS,4.7717,33.5903,86.47,100,10.89,overcast clouds
44,New Norfolk,AU,-42.7826,147.0587,54.91,100,1.01,overcast clouds
45,Hermanus,ZA,-34.4187,19.2345,57.9,26,3.56,scattered clouds
46,Sao Francisco,BR,-15.9486,-44.8644,87.84,100,1.19,overcast clouds
47,Ushuaia,AR,-54.8,-68.3,38.86,20,5.75,few clouds
48,Mbabane,SZ,-26.3167,31.1333,51.87,0,2.57,clear sky
